conre,cnpj
2,"19.557.018/0001-17"
2,"42.347.004/0001-90"
2,"50.395.450/0001-07"
2,"12.073.164/0001-28"
2,"55.686.336/0001-41"
2,"36.443.527/0001-38"
2,"05.025.172/0001-33"
2,"08.955.939/0001-11"
2,"37.086.478/0001-96"
2,"04.067.191/0001-60"
2,"37.086.478/0001-96"
2,31932916000103
2,"10.841.547/0001-73"
2,"54.949.663/0001-86"
2,"54.432.692/0001-76"
2,"33.641.663/0001-44"
2,"16.832.830/0001-15"
2,"39.253.182/0001-48"
2,"42.700.426/0001-06"
2,51671182000163
2,"02.617.190/0001-16"
2,"31.691.970/0001-04"
2,"30.669.011/0001-20"
2,"55.419.802/0001-22"
2,"55.322.525/0001-35"
2,41628238000143
2,"52.634.112/0001-06"
2,"02.983.163/0005-90"
2,"10.634.717/0001-49"
2,"09.642.922/0001-77"
2,"39.293.002/0001-51"
2,02971027000157
2,"10.683.261/0001-07"
2,"19.720.403/0001-33"
3,"04.339.846/0001-01"
3,"09.027.925/0001-09"
3,"51.991.368/0001-08"
3,"08.204.684/0001-55"
3,"34.972.238/0001-09"
3,"09.334.545/0001-09"
3,"53.481.543/0001-34"
3,"51.617.475/0001-62"
3,"57.031.099/0001-06"
3,"39.664.992/0001-97"
3,"19.259.002/0001-28"
3,"29.280.171/0001-01"
3,"04.209.958/0001-48"
3,"28.484.428/0001-76"
3,"53.568.314/0001-51"
3,"05.412.667/0001-15"
3,"29.021.286/0001-73"
3,"23.340.485/0001-68"
3,"05.983.308/0001-18"
3,"07.630.546/0001-75"
3,"05.371.865/0001-88"
3,"60.964.996/0001-87"
3,"54.667.314/0001-71"
3,"07.898.610/0001-01"
3,"47.526.490/0001-28"
3,"07.138.745/0001-60"
3,"62.292.602/0001-17"
3,"45.062.853/0001-96"
3,"01.329.722/0001-57"
3,"02.195.435/0001-64"
3,"17.658.737/0001-07"
3,"51.734.691/0001-98"
3,"04.859.573/0001-26"
3,"43.942.358/0001-46"
3,"07.188.687/0001-80"
3,"53.590.353/0001-55"
3,"37.367.475/0001-20"
3,"60.555.513/0001-90"
3,"51.169.555/0001-00"
3,"09.415.165/0001-07"
